200
(51, 28)
(94, 21)
(63, 32)
(5, 10)
(92, 69)
(44, 17)
(33, 30)
(66, 30)
(93, 49)
(77, 92)
(23, 53)
(97, 75)
(81, 74)
(89, 27)
(2, 44)
(75, 20)
(0, 34)
(10, 19)
(100, 53)
(81, 23)
(95, 90)
(33, 73)
(38, 19)
(60, 19)
(9, 86)
(30, 56)
(62, 5)
(90, 17)
(39, 19)
(38, 15)
(53, 30)
(30, 20)
(90, 19)
(73, 54)
(6, 81)
(93, 93)
(54, 47)
(68, 68)
(55, 99)
(95, 39)
(49, 9)
(43, 33)
(100, 0)
(27, 67)
(93, 52)
(46, 71)
(49, 79)
(21, 15)
(24, 84)
(42, 52)
(97, 97)
(65, 12)
(76, 10)
(0, 32)
(67, 35)
(32, 1)
(78, 23)
(31, 55)
(37, 21)
(36, 55)
(73, 33)
(89, 80)
(20, 91)
(5, 60)
(52, 5)
(19, 96)
(38, 91)
(58, 93)
(23, 89)
(10, 60)
(83, 62)
(84, 33)
(97, 80)
(52, 2)
(29, 12)
(53, 41)
(70, 73)
(89, 4)
(96, 17)
(64, 54)
(89, 59)
(37, 83)
(60, 95)
(56, 17)
(11, 81)
(87, 81)
(30, 83)
(53, 10)
(50, 53)
(44, 23)
(81, 60)
(78, 88)
(43, 64)
(96, 29)
(50, 79)
(9, 33)
(16, 97)
(75, 95)
(24, 43)
(15, 12)
(51, 65)
(86, 77)
(75, 52)
(32, 56)
(14, 63)
(81, 76)
(7, 61)
(51, 56)
(64, 63)
(85, 85)
(51, 25)
(41, 66)
(71, 10)
(95, 100)
(40, 64)
(64, 88)
(72, 35)
(63, 76)
(49, 93)
(89, 24)
(50, 74)
(79, 45)
(31, 19)
(78, 90)
(25, 37)
(52, 59)
(36, 70)
(12, 40)
(63, 95)
(0, 57)
(90, 47)
(58, 97)
(66, 86)
(44, 98)
(52, 31)
(8, 87)
(4, 66)
(3, 40)
(54, 87)
(71, 72)
(31, 22)
(100, 85)
(21, 62)
(29, 97)
(51, 71)
(54, 49)
(55, 8)
(45, 26)
(1, 33)
(39, 32)
(41, 9)
(81, 85)
(87, 78)
(96, 99)
(74, 41)
(17, 88)
(39, 3)
(77, 56)
(8, 69)
(49, 69)
(46, 46)
(29, 56)
(56, 12)
(67, 81)
(64, 69)
(21, 61)
(64, 98)
(70, 86)
(80, 28)
(17, 36)
(55, 68)
(1, 95)
(46, 75)
(99, 0)
(36, 21)
(98, 82)
(91, 24)
(37, 89)
(50, 67)
(2, 98)
(30, 7)
(67, 73)
(21, 80)
(58, 85)
(22, 84)
(32, 19)
(93, 81)
(99, 62)
(3, 48)
(67, 51)
(57, 70)
(55, 33)
(30, 35)
(95, 44)
(52, 98)
(43, 9)
(83, 71)
(54, 90)
(1, 66)
(29, 0)
